theta_new(rad)	theta(rad)	delta3pSmoothed_Cf	delta3pSmoothed_Cf_smooth	delta2p_Cf	delta2p_Cf_smooth	delta3p_Cf	delta3p_Cf_smooth	delta4p_Cf	delta4p_Cf_smooth
0.0125126535898	3.12908	0.0117462	0.0136529185689	-0.158903	0.0131790598852	0.00997095	0.0134342799327	0.00956562	0.0131427375717
0.0250326535898	3.11656	0.0316276	0.0272985518122	0.368431	0.0263565869681	0.027786	0.0268647233138	0.0365177	0.026290469693
0.0375526535898	3.10404	0.0352409	0.040929863499	-0.470254	0.0395319895562	0.0325638	0.0402875791593	0.0293273	0.0394470498685
0.0500626535898	3.09153	0.0632292	0.0545397047421	0.71433	0.0527039793409	0.0590932	0.0536989078796	0.0721085	0.0526163659575
0.0625826535898	3.07901	0.0585674	0.0681209405749	-0.731163	0.0658710001977	0.0577338	0.0670945980079	0.0528142	0.0658016866275
0.0751026535898	3.06649	0.0942061	0.0816664545657	0.970297	0.0790311455407	0.0918917	0.0804703143799	0.0998155	0.0790054734676
0.0876126535898	3.05398	0.0810738	0.0951691534104	-0.852993	0.0921820812404	0.0828707	0.0938214508682	0.096101	0.0922292083303
0.10013265359	3.04146	0.122806	0.108621971502	1.05512	0.10532097534	0.126013	0.107143088645	0.074696	0.105473239163
0.11264265359	3.02895	0.105855	0.122017875471	-0.774639	0.118444435708	0.107791	0.120429960837	0.230064	0.118736647244
0.12516265359	3.01643	0.144703	0.135349868686	1.03079	0.131548456661	0.164484	0.133676424315	-0.151793	0.13201713834
0.13768265359	3.00391	0.143947	0.148610995716	-0.705812	0.144628375432	0.129353	0.146876439226	0.632928	0.145310959852
0.15019265359	2.9914	0.162675	0.161794346747	0.892869	0.157678839257	0.207779	0.160023556723	-0.540408	0.158612845533
0.16271265359	2.97888	0.18434	0.174893061942	-0.435707	0.170693783648	0.0608351	0.173110915185	1.17205	0.171915988841
0.17523265359	2.96636	0.170453	0.18790033574	0.614444	0.183666422309	0.203563	0.186131245081	-1.1363	0.18521204548
0.18774265359	2.95385	0.233218	0.20080942109	0.0415803	0.196589248927	0.332882	0.199076882424	2.02932	0.198491165091
0.20026265359	2.94133	0.159106	0.213613633617	0.0436763	0.209454050935	-0.0256539	0.211939790649	-2.30806	0.211742051578
0.21277265359	2.92882	0.296188	0.226306355702	0.620102	0.222251935142	0.675784	0.224711590536	3.3554	0.22495205096
0.22529265359	2.9163	0.156561	0.238881040479	-0.340479	0.234973364956	-0.404835	0.237383597692	-3.36973	0.238107265174
0.23781265359	2.90378	0.34561	0.251331215745	0.996775	0.247608208743	0.813196	0.249946866925	4.28767	0.25119268976
0.25032265359	2.89127	0.171978	0.263650487771	-0.491333	0.260145798703	-0.19844	0.262392242739	-3.8716	0.264192372914
0.26284265359	2.87875	0.352027	0.275832545011	0.78923	0.272574999477	0.87777	0.274710415053	4.07507	0.277089593015
0.27536265359	2.86623	0.222758	0.287871161711	0.101942	0.284884285546	-0.398271	0.286891979148	-3.04714	0.289867051388
0.28787265359	2.85372	0.361399	0.299760201402	0.464514	0.297061826346	0.633085	0.298927498773	3.24394	0.302507076794
0.30039265359	2.8412	0.264959	0.311493620293	-0.0548996	0.309095577897	0.466719	0.310807571278	-1.85092	0.314991837934
0.31290265359	2.82869	0.333721	0.323065470543	0.592352	0.32097337964	0.128734	0.322522893611	0.649861	0.327303560095
0.32542265359	2.81617	0.361251	0.334469903424	0.438595	0.332683055076	0.0828435	0.334064328003	2.38054	0.339424742028
0.33794265359	2.80365	0.311932	0.345701172375	-0.0442067	0.34421251475	0.929179	0.345422966167	-2.7615	0.351338369139
0.35045265359	2.79114	0.355794	0.356753635944	0.522743	0.355549860049	0.0397685	0.356590190883	2.02446	0.363028119143
0.36297265359	2.77862	0.413198	0.367621760627	0.58884	0.366683486292	-0.0774701	0.367557733873	1.63841	0.374478556517
0.37549265359	2.7661	0.314478	0.378300123602	-0.365571	0.377602183547	1.50638	0.378317728967	-3.09321	0.385675312268
0.38800265359	2.75359	0.419147	0.388783415372	1.37739	0.38829523367	-0.759662	0.388862759641	3.5269	0.396605245832
0.40052265359	2.74107	0.448509	0.39906644232	-0.153202	0.398752502077	0.799475	0.399185900111	0.414303	0.407256586279
0.41304265359	2.72855	0.261877	0.409144129186	-0.282506	0.408964522832	1.26878	0.409280749313	-4.56229	0.417619050349
0.42555265359	2.71604	0.648231	0.419011521466	2.44621	0.418922575743	-1.82347	0.419141457217	10.5136	0.427683935324
0.43807265359	2.70352	0.164784	0.428663787768	-2.06251	0.428618754237	3.47376	0.428762743071	-14.0292	0.437444185186
0.45058265359	2.69101	0.688336	0.438096222104	2.80124	0.438046022937	-2.67338	0.438139905342	17.9886	0.44689442901
0.46310265359	2.67849	0.251158	0.447304246156	-1.06382	0.447198264011	3.17061	0.447268823258	-18.2293	0.456030991074
0.47562265359	2.66597	0.590788	0.45628341152	1.38954	0.456070311515	-1.62519	0.456145950016	19.0131	0.464851872675
0.48813265359	2.65346	0.378078	0.465029401929	-0.290845	0.464657973136	2.0413	0.464768297896	-16.3823	0.473356706154
0.50065265359	2.64094	0.520123	0.473538035494	0.993716	0.472958038942	-0.778417	0.473133415643	14.4278	0.48154668216
0.51317265359	2.62842	0.450827	0.481805266947	-0.320398	0.480968276919	1.63233	0.481239358639	-10.7493	0.489424451657
0.52568265359	2.61591	0.521397	0.489827189919	1.66945	0.488687415306	-0.685284	0.489084652519	10.0786	0.496994004621
0.53820265359	2.60339	0.462631	0.49760003925	-0.980853	0.496115111914	1.7075	0.496668250991	-8.96295	0.504260527815
0.55071265359	2.59088	0.555359	0.50512019336	1.94098	0.503251910854	-0.922201	0.503989488731	11.3702	0.511230244382
0.56323265359	2.57836	0.452147	0.512384176666	-0.35673	0.510099187266	2.06363	0.511048030311	-12.8166	0.517910238302
0.57575265359	2.56584	0.595079	0.519388662072	0.985839	0.516659080866	-1.13785	0.517843816177	16.274	0.524308267051
0.58826265359	2.55333	0.411019	0.526130473534	-0.558916	0.52293441927	2.48396	0.524377006737	-15.5255	0.530432565951
0.60078265359	2.54081	0.672618	0.5326065887	2.46442	0.528928632283	-1.51244	0.530647925672	14.1397	0.536291647855
0.61330265359	2.52829	0.402762	0.53881414163	-1.37477	0.534645658426	2.29342	0.536657003538	-9.36533	0.541894101866
0.62581265359	2.51578	0.658255	0.544750425601	1.91421	0.540089845163	-0.710059	0.542404722761	6.1534	0.547248394766
0.63833265359	2.50326	0.494483	0.550412895989	0.180988	0.545265844378	0.882673	0.547891565062	-0.129584	0.552362678774
0.65085265359	2.49074	0.540145	0.555799173227	-0.39071	0.550178504733	1.29654	0.553117962294	-2.65773	0.557244609087
0.66336265359	2.47823	0.613568	0.560907045835	2.16371	0.554832762631	-0.572674	0.558084251609	5.19782	0.561901174458
0.67588265359	2.46571	0.505847	0.565734473511	-0.801936	0.559233533517	1.37942	0.562790635775	-3.24269	0.566338543822
0.68839265359	2.4532	0.624705	0.570279590271	1.29063	0.563385605272	0.236247	0.567237149361	2.06136	0.570561931612
0.70091265359	2.44068	0.552529	0.574540707632	0.665496	0.567293535438	0.279208	0.571423631379	1.86749	0.574575484104
0.71343265359	2.42816	0.55797	0.578516317813	-0.360705	0.570961553964	1.34572	0.575349704869	-2.02692	0.578382188666
0.72594265359	2.41565	0.606295	0.582205096948	1.16576	0.57439347308	0.0929091	0.579014763737	1.6173	0.581983807405
0.73846265359	2.40313	0.597029	0.585605908285	1.27786	0.57759260582	0.293549	0.582417967066	2.75717	0.585380836196
0.75098265359	2.39061	0.553844	0.588717805357	-0.284323	0.580561694582	0.905882	0.585558240925	-3.32773	0.588572489648
0.76349265359	2.3781	0.6147	0.591540035098	-0.322355	0.583302850946	1.31736	0.588434287606	3.43709	0.591556712056
0.77601265359	2.36558	0.588511	0.594072040884	2.86557	0.585817507833	-0.876612	0.591044602042	-0.476485	0.594330213924
0.78852265359	2.35307	0.605381	0.596313465486	-0.500252	0.588106384862	1.35179	0.593387495055	1.45078	0.596888533171
0.80104265359	2.34055	0.580651	0.598264153889	-0.470296	0.590169467578	1.23762	0.595461122952	-0.569144	0.599226119725
0.81356265359	2.32803	0.601149	0.599924155984	2.24908	0.592006000988	-0.485788	0.597263522852	0.247193	0.601336441744
0.82607265359	2.31552	0.636374	0.60129372908	0.379269	0.59361449763	0.895547	0.598792653069	4.1752	0.603212111376
0.83859265359	2.303	0.553124	0.60237334024	-0.370229	0.594992760145	0.946031	0.600046437747	-4.74124	0.604845027614
0.85111265359	2.29048	0.620881	0.603163668397	0.773517	0.596137918096	0.721296	0.601022814914	4.0985	0.606226533523
0.86362265359	2.27797	0.630059	0.603665606245	1.76653	0.597046478554	-0.364273	0.601719787025	0.739309	0.607347584888
0.87614265359	2.26545	0.567393	0.603880261881	-0.648716	0.597714389709	1.79159	0.602135473078	-1.64823	0.608198927149
0.88866265359	2.25293	0.612758	0.603808960171	1.21621	0.598137116589	-0.242266	0.602268161331	2.33053	0.608771277402
0.90117265359	2.24042	0.637632	0.603453243841	0.608393	0.598309727731	0.602148	0.60211636167	1.2379	0.609055508149
0.91369265359	2.2279	0.522265	0.602814874265	-1.17289	0.598226991474	1.91449	0.601678856702	-3.04378	0.609042829534
0.92620265359	2.21539	0.708808	0.601895831942	3.58607	0.597883480381	-1.59272	0.600954750658	6.88416	0.608724966841
0.93872265359	2.20287	0.515218	0.600698316654	-1.10994	0.597273682153	2.54178	0.599943515283	-6.76068	0.608094330167
0.95124265359	2.19035	0.629847	0.59922474729	1.04897	0.596392115262	-0.558868	0.598645031922	6.3084	0.607144173367
0.96375265359	2.17784	0.631698	0.597477761339	0.399792	0.595233447482	0.923599	0.59705962912	-1.02613	0.605868739594
0.97627265359	2.16532	0.481246	0.595460214042	-0.127257	0.593792615393	1.3022	0.595188115123	-3.16086	0.604263391041
0.98879265359	2.1528	0.785748	0.593175177203	2.17523	0.592064942945	-1.07051	0.593031804799	10.1346	0.602324720806
1.00130265359	2.14029	0.345982	0.590625937656	-1.17698	0.590046257154	2.71341	0.590592540574	-15.0012	0.600050645161
1.01382265359	2.12777	0.868779	0.587815995398	2.18402	0.587732999031	-1.80452	0.587872707119	22.8712	0.597440474864
1.02633265359	2.11526	0.274183	0.584749061379	-0.70076	0.585122327956	3.22654	0.584875239639	-27.2412	0.594494964581
1.03885265359	2.10274	0.928633	0.581429054964	1.74521	0.582212217746	-2.31294	0.581603625707	30.4674	0.591216339855
1.05137265359	2.09022	0.167373	0.577860101076	-1.33991	0.579001542864	3.93322	0.57806190074	-27.5366	0.587608301506
1.06388265359	2.07771	1.04312	0.574046527005	3.61705	0.575490153312	-3.12128	0.574254637303	25.2947	0.583676007719
1.07640265359	2.06519	0.0864741	0.569992858925	-2.89413	0.571678936973	4.30711	0.570186928524	-20.0853	0.579426034502
1.08892265359	2.05267	1.00481	0.565703818098	3.83349	0.56756986835	-2.66669	0.565864366034	16.854	0.574866315551
1.10143265359	2.04016	0.232946	0.56118431679	-1.36459	0.563166042882	2.7041	0.561293012892	-10.1733	0.570006062904
1.11395265359	2.02764	0.733232	0.556439453897	1.17907	0.558471696239	-0.348196	0.556479372061	3.90129	0.564855670116
1.12646265359	2.01513	0.541217	0.551474510305	0.676843	0.553492208248	0.239137	0.551430351054	5.8527	0.559426599917
1.13898265359	2.00261	0.399658	0.546294943974	-0.344328	0.548234091374	1.89341	0.546153223414	-13.1362	0.553731258598
1.15150265359	1.99009	0.793503	0.540906384768	1.82039	0.54270496389	-1.47302	0.540655587737	18.9855	0.547782859539
1.16401265359	1.97758	0.262299	0.535314629031	-0.919881	0.536913508169	2.59795	0.534945324956	-17.0466	0.541595278432
1.17653265359	1.96506	0.709685	0.529525633918	1.41541	0.53086941474	-0.694126	0.529030554627	13.1817	0.535182902873
1.18905265359	1.95254	0.517864	0.523545511483	1.14948	0.524583312989	0.360832	0.522919590921	-5.56032	0.528560478997
1.20156265359	1.94003	0.362373	0.517380522537	-1.68022	0.518066689634	1.88145	0.516620899049	1.12452	0.521742957871
1.21408265359	1.92751	0.719716	0.511037070264	3.10088	0.511331796239	-1.14659	0.51014305276	2.42047	0.514745344254
1.22660265359	1.91499	0.370085	0.504521693616	-0.565169	0.504391547278	1.32165	0.503494693544	-1.1995	0.50758255026
1.23911265359	1.90248	0.51664	0.497841060479	-0.339701	0.497259410349	0.889794	0.4966844921	1.10714	0.500269256299
